Location,Condition,Download_Speed,Upload_Speed,Latency,Jitter,Packet_Loss
Outdoor Plaza,Off-Peak,45.68,48.14,14.09,6.98,0.7
Outdoor Plaza,Off-Peak,96.83,45.46,35.29,11.56,3.98
Library,Off-Peak,96.54,11.4,95.54,15.6,1.01
Outdoor Plaza,Peak,86.04,5.33,90.12,21.02,0.82
Outdoor Plaza,Off-Peak,32.97,6.84,51.01,2.14,0.82
Library,Peak,41.58,2.87,65.81,24.18,4.07
Outdoor Plaza,Off-Peak,85.86,6.53,34.96,19.21,3.33
Library,Peak,35.11,34.78,26.93,3.37,2.62
Lecture Hall,Off-Peak,21.1,5.42,51.73,26.33,1.79
Outdoor Plaza,Off-Peak,57.9,17.31,41.8,27.71,4.39
Lecture Hall,Off-Peak,93.93,42.55,62.53,2.77,1.96
Library,Off-Peak,71.12,3.12,17.0,9.03,4.08
Outdoor Plaza,Peak,59.16,41.09,97.7,24.38,2.2
Library,Off-Peak,14.23,15.53,98.76,22.7,1.88
Lecture Hall,Peak,63.43,7.67,72.83,6.35,2.31
Library,Peak,99.06,35.44,58.25,7.07,1.51
Outdoor Plaza,Peak,18.31,32.19,37.86,11.74,3.74
Outdoor Plaza,Peak,54.24,44.12,83.24,15.05,2.51
Lecture Hall,Off-Peak,88.35,37.28,71.63,18.93,1.16
